Block Size,Read Speed (MBPS),Write Speed (MBPS),Read Latency (ns),Write Latency (ns)
128K,3319.583098083008,2967.834912109375,596.634632032,668.946846117
16K,1222.279001444336,1098.1124195771483,189.231128635,137.09828737
32K,2154.6440470722655,2133.0409749345704,219.71215079799998,165.131769765
4K,402.8537536103516,309.9346277578125,122.373107067,119.438299758
64K,3154.8367663466797,2334.0180908203124,305.973466296,419.091478825
